wallet,points,%
FaLrtiLBAwZ2JLHXoj7P46cC1jUfit6ZmcFqfvuXJQZZ,2537.789345146457,0.02168867202814853
BxzEHssDkRTHFo5L2VkAnirW86jyzGHR3TuLH85LPh1V,17641.886227183866,0.15077259468800389
J3v2GNizNH4wSxpEbUYfZQ2kC2EEZdMHHofpiLa7Zqfa,43818.01660043698,0.3744812755197379
GPF8xwPg3ktvVoaaduxqjZfauMb57mFV2xcmpsZGHWmX,11280.060891008305,0.09640261970148085
6BCehLvYBBkD5GFR1uYHzYqha4zU62b58AF9w4RxUAtU,21699.914867062133,0.18545366560489437
4MFX7nBc3Qc7ocrGaBTezuzBo1UC3SfGMLqMTA4JbAQQ,11378.730529970582,0.09724587859634597
9TZSnHnmXcDtVyz98tqKYqu7iv7BJhmwxoaGwvpThZNe,15772.544516127296,0.13479666691559686
8hTkaiZPiPwpEGE5DdtttBVRR5Ywdyc6eqSzwv71wPuz,887.4253426460525,0.0075841902492528625
2C9azjFZG2yNhB7UyxyPLLziLHA7oi63k1ykcQWcHNgd,132405.6911594994,1.1315768252045288
4se1N3923DrgMxF1KYYSp3BiqnAmeKR2YTgJ3w5TLCTU,979.0044514468036,0.008366851449721806
CNvYarVGLTc8Rywbej1NBe4Rf421mWG8WFcwpBPspUGE,2635.3804659670877,0.02252271359916629
ESq4fAKWsxWxTbwjfHnjESvQQh6THvSt5jJiUudpBEhK,6364.391816243806,0.054391908857659106
9oPnLK2QAC4Rj3GoN3uGaUYjpWDSYuVmYPC46chKU4oX,3937.292901820863,0.03364922884149857
88BDXjYrRRYcpTPSr9uGGtT8NqMgCoudSGRaPj1XS3qt,18145.23214296354,0.15507433253907182
4LH2qFCpB78C1EBRJGLiYCYvzctoGpV8HEaYp1VvSEmF,61643.95520788033,0.5268268343779486
BxPyoR7RgV3pumEjgKRQ6tM7TUymAHTkfPEy6inaFPJj,5516.353450778962,0.047144330956431564
8gsmnRPsnmCDiFnNMrDcSa2awmgJx8H8xZKSzKADtmfW,116456.18703032086,0.995267810931561
6xMNdaT9Bq4qRyQc7Ti8z76Lj3fauqRmXbVpT4TXpH2w,3072.5282197516003,0.02625870306488255
8Nnxts3kNivf2HcafqJgAyJKEoVSM8MPLsxSho5gSEAP,1120.7755852649439,0.009578468020782377
6LiRtKFfuVKby4qRFZHdAQvLoWCxEW6xCyn1NFHSx8RG,5813.754986041529,0.04968600935511892
DtE2sqJD39USL448TS15CRd9bjbVgs6JgKdZwz7HSzth,13679.036646936986,0.1169049511788061
FmpH6CPjBYc41sGM5SG2VN4czsGpX5Z3G1xSfNYRjUsY,12627.927199988257,0.10792186985877483
7noJULgrK4pPPRieKHtYN2sZUzL1HMp3shRJNS5HwUdF,6415.256929006429,0.054826616628220595
ALY1TmZ2JyfYGbfqcRq6DNQ2NnX2DcTUXxgYe32vNYLb,5381.38190711851,0.04599082562346015
2pQ7L7JYy65Ku1sidGgFSxYXf2chZFd66MeWwm3Dm3GR,43633.338910543,0.37290296727493144
BdAqJA6b4Ag7skuzCZEgN5fuPnaKWLirgKiU4R3HaE2g,2298.630554232736,0.019644752745132985
2bcURY4ZTZqeAJgg47gFhynmf8aAXBr8xZ52HvpdyA25,19200.989111787847,0.16409713290745354
7g65r7f3mRKTbA8SD7KmRWjN7PRLLU64XHAHMxUiqNCA,2399.149336053896,0.02050381494261508
9PPZvx1EFvYq2KR1PieZraiPuRoPYC2Bjdop5Tsn6fNC,1502.0585518149092,0.01283702107099407
EMo7RRcgfbiQAZqV449dn5Evn7ndbMz5kWea1e7nX2D8,2617.0028833966308,0.0223656535335611
7TcPLyjmswDGDJ4EhojACZUHiD4dEcQuWRJm2xGJN2TV,28868.171498344454,0.24671563259471596
3ym6C2qKP4eP3WAXSax2e79dq69uijB3ZHKjkj7xEjLd,135582.51665307826,1.1587268825379584
6DE1BxLFwv5BqLmFDeQbGpSJVrDvWX2zoyENewNmQvUQ,3166.588789346234,0.027062571537504385
8rvx9noLPaUEqqiHXgQpQUtKNBYVX25cM98AQc8ngFL7,8270.430410535382,0.070681458667475
7ov56VX3T3gb5RvyWhnbe1sypMrGNoyJQ5j9DbEU1gKa,1556.6773426959573,0.013303808846054543
7cdpBvSbCKavDg15L4J5TSDjr88aWUNtQWu1VXrbbnCA,40257.790776127935,0.34405456953751723
6rfSD4qV72c4rdG7hKMdqGbKRMYjjrnFKHvvtAFJdw4U,2100.1948176951373,0.017948864307166638
7Et1WHKPNBcojeKLtpArh1Zh5wSKTxNH5u6wjenxZVWT,1870.8445166764964,0.01598877117813532
MkjtUuUDo2CrGTyErqZbUivbQLrHgnvbsQvAXMFEH8m,3234.2313603670864,0.027640664254623637
UiREtjFK5KnzpaAzorDe3c2WoJb3zRC55Lnosg8x54B,5794.907547424949,0.04952493376564675
HPf4m1Wq9hKfq8pgMv9Xmyof1KiW7F4G7YQtkcimgSgg,3299.7986355186754,0.028201020900955175
ADoNgUs8YaDoaC7wbqi7SqJjwzVQdjfsCGqrLDdspfVY,1570.6071967120388,0.01342285735405328
3joTDNx4DJdM7waTxqLvjQHozToybCbzVitMu6ugr8Yh,1470.6927375448402,0.012568959870445495
938s5ofTZrgKB4xA4x96wb27DCRMewMsfhh85LrgVVPc,2125.0857073850034,0.01816158895431073
cUtE94oJv8UEoyyjBJRdmQzN3rFExWNMT6zZHM12cqj,847.1460863600498,0.007239952229341704
